id,subject,catalog_number,code,academic_group,academic_org,career_level,effective_year,level,department,title
180994,LAWAM,791,LAWAM 791,LAW,LAW,LAW,2023,Graduate,LAW,LAWAM 791
180995,GRSAH,728,GRSAH 728,GRS,GRSAH,GRAD,2023,Graduate,GRSAH,GRSAH 728
180996,QSTMO,825,QSTMO 825,QST,QST,GRAD,2023,Graduate,QST,QSTMO 825
180997,CASEE,526,CASEE 526,CAS,CASEE,UGRD,2024,Graduate,CASEE,CASEE 526
180998,EOPOR,22,EOPOR 22,BU1,EOP,UGRD,2023,Introductory,EOP,EOPOR 22
180999,GRSEN,652,GRSEN 652,GRS,GRSEN,GRAD,2023,Graduate,GRSEN,GRSEN 652
181000,SPHOM,703S,SPHOM 703S,SPH,SPH,GRAD,2024,Graduate,SPH,SPHOM 703S
181001,SPHOM,703,SPHOM 703,SPH,SPH,GRAD,2023,Graduate,SPH,SPHOM 703
181002,SPHOM,705,SPHOM 705,SPH,SPH,GRAD,2023,Graduate,SPH,SPHOM 705
181003,SPHOM,706S,SPHOM 706S,SPH,SPH,GRAD,2024,Graduate,SPH,SPHOM 706S
181004,SPHOM,706,SPHOM 706,SPH,SPH,GRAD,2023,Graduate,SPH,SPHOM 706
181005,PDPER,403S,PDPER 403S,BU1,SUM,UGRD,2023,Advanced Undergraduate,SUM,PDPER 403S
181006,CASEC,406,CASEC 406,CAS,CASEC,UGRD,2023,Advanced Undergraduate,CASEC,CASEC 406
181007,GMSGC,713,GMSGC 713,MED,GMS,GRAD,2023,Graduate,GMS,GMSGC 713
181008,METCJ,812,METCJ 812,MET,MET,GRAD,2023,Graduate,MET,METCJ 812
102595,CASCS,523S,CASCS 523S,CAS,SUM,UGRD,2022,Graduate,SUM,CASCS 523S
102596,CASCS,523,CASCS 523,CAS,CASCS,UGRD,2022,Graduate,CASCS,CASCS 523
102756,CASEC,222E,CASEC 222E,CAS,SAB,UGRD,2023,Undergraduate Upper,SAB,CASEC 222E
102909,CASEC,436,CASEC 436,CAS,CASEC,UGRD,2023,Advanced Undergraduate,CASEC,CASEC 436
108296,CASPH,458,CASPH 458,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 458
108308,CASPH,470,CASPH 470,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 470
108310,CASPH,472,CASPH 472,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 472
108314,CASPH,476S,CASPH 476S,CAS,SUM,UGRD,2023,Advanced Undergraduate,SUM,CASPH 476S
108315,CASPH,476,CASPH 476,CAS,CASPH,UGRD,2023,Advanced Undergraduate,CASPH,CASPH 476
108382,CASPO,221E,CASPO 221E,CAS,SAB,UGRD,2023,Undergraduate Upper,SAB,CASPO 221E
108522,CASPO,344,CASPO 344,CAS,CASPO,UGRD,2023,Advanced Undergraduate,CASPO,CASPO 344
